as_of_date,last_close,threshold,objective,pred_class,label,probability_buy,probability_no_buy,model_version,data_status,last_refresh_at,latest_market_date
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.5,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:44:23Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:48:38Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:49:12Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:53:23Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:53:23Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:55:02Z,2026-02-27
2026-02-27,26630.5390625,0.46000000000000013,return,1,BUY,0.5128181576728821,0.4871818423271179,best_model_weekly_binary.pth,fresh,2026-03-01T09:55:15Z,2026-02-27
