window_id,start_idx,end_idx,n_samples,accuracy,f1,ai_return_pct,buy_hold_return_pct
1,0,100,100,0.34,0.5074626865671642,7.254588062456935,9.422369413582011
2,50,150,100,0.4,0.5081967213114754,14.408150948794841,13.754642775667602
3,100,200,100,0.45,0.5669291338582677,14.019415681408699,13.368127994079915
4,150,250,100,0.39,0.5611510791366906,10.006412397844011,12.229812381081583
5,200,300,100,0.53,0.6928104575163399,14.058390027009594,16.36368675423132
6,250,350,100,0.56,0.6716417910447762,3.877361847184657,7.041235320449224
7,300,400,100,0.54,0.5576923076923077,12.210376936126854,14.943015575093233
8,350,450,100,0.37,0.42201834862385323,-1.0845662199076789,0.3167976207098633
9,387,487,100,0.38,0.48333333333333334,-1.720023564121731,3.1313077064063055
