Date,Price_In,Price_Out,Probability,Signal,Actual_Return,Target,Strategy_Return,Cum_Market,Cum_Strategy
2025-08-07,24910.630859375,25081.630859375,0.503231942653656,1,0.006864539118472182,1,0.006864539118472182,1.0068645391184723,1.0068645391184723
2025-08-08,25081.630859375,24858.8203125,0.5023534297943115,1,-0.008883415441532901,0,-0.008883415441532901,0.9979201431241354,0.9979201431241354
2025-08-11,24858.8203125,24906.810546875,0.5017726421356201,1,0.0019305113344766649,1,0.0019305113344766649,0.9998466392713391,0.9998466392713391
2025-08-12,24906.810546875,24969.6796875,0.501595139503479,1,0.002524174683333272,1,0.002524174683333272,1.0023704268454037,1.0023704268454037
2025-08-13,24969.6796875,25613.669921875,0.5012801885604858,1,0.025790888887428785,1,0.025790888887428785,1.028222451148218,1.028222451148218
2025-08-14,25613.669921875,25519.3203125,0.5006490349769592,1,-0.003683564661478753,0,-0.003683564661478753,1.0244349272630293,1.0244349272630293
2025-08-15,25519.3203125,25270.0703125,0.5003717541694641,1,-0.009767109662317735,0,-0.009767109662317735,1.0144291589865428,1.0144291589865428
2025-08-18,25270.0703125,25176.849609375,0.5005753040313721,1,-0.0036889768003094073,0,-0.0036889768003094073,1.0106869533534841,1.0106869533534841
2025-08-19,25176.849609375,25122.900390625,0.5007905960083008,1,-0.002142810541709363,0,-0.002142810541709363,1.0085212426954702,1.0085212426954702
2025-08-20,25122.900390625,25165.939453125,0.5014050602912903,1,0.0017131406736803642,1,0.0017131406736803642,1.0102489814566025,1.0102489814566025
2025-08-21,25165.939453125,25104.609375,0.5018727779388428,1,-0.002437027166787699,0,-0.002437027166787699,1.007786977243573,1.007786977243573
2025-08-22,25104.609375,25339.140625,0.502033531665802,1,0.009342158903836759,1,0.009342158903836759,1.0172018833261998,1.0172018833261998
2025-08-25,25339.140625,25829.91015625,0.5021930932998657,1,0.01936804165985799,1,0.01936804165985799,1.0369030917789477,1.0369030917789477
2025-08-26,25829.91015625,25524.919921875,0.502274751663208,1,-0.011807638219802413,0,-0.011807638219802413,1.0246597152022272,1.0246597152022272
2025-08-27,25524.919921875,25201.759765625,0.502896249294281,1,-0.012660574733989662,0,-0.012660574733989662,1.0116869343010009,1.0116869343010009
