Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2015-03-06,24164.0,24294.359375,24126.08984375,24235.759765625,1620600000
2015-03-09,24123.05078125,24205.859375,23910.16015625,23982.5,1619500000
2015-03-10,23896.98046875,24152.400390625,23869.8203125,24150.6796875,1521300000
2015-03-11,23717.970703125,23899.859375,23703.83984375,23807.099609375,1678300000
2015-03-12,23797.9609375,23880.25,23677.060546875,23709.169921875,1619100000
2015-03-13,23823.2109375,23918.7109375,23790.830078125,23808.970703125,1538400000
2015-03-16,23949.55078125,23970.05078125,23711.26953125,23771.400390625,1187700000
2015-03-17,23901.490234375,24106.470703125,23822.779296875,24106.470703125,1188600000
2015-03-18,24120.080078125,24210.75,23938.630859375,23938.630859375,1668400000
2015-03-19,24468.890625,24500.23046875,24248.83984375,24325.560546875,1826000000
2015-03-20,24375.240234375,24524.55078125,24351.5,24417.529296875,2006100000
2015-03-23,24494.509765625,24559.76953125,24436.419921875,24538.33984375,1461200000
2015-03-24,24399.599609375,24490.150390625,24294.94921875,24484.6796875,1559000000
2015-03-25,24528.23046875,24613.689453125,24377.919921875,24410.529296875,1421300000
2015-03-26,24497.080078125,24592.009765625,24399.83984375,24442.509765625,1346200000
2015-03-27,24486.19921875,24549.880859375,24420.470703125,24541.439453125,1610400000
2015-03-30,24855.119140625,24949.349609375,24725.51953125,24727.4609375,2574100000
2015-03-31,24900.890625,25113.19921875,24876.369140625,25113.19921875,2557000000
2015-04-01,25082.75,25099.060546875,24926.109375,24955.19921875,1713500000
2015-04-02,25275.640625,25297.80078125,25152.5703125,25214.330078125,2106800000
2015-04-08,26236.859375,26247.630859375,25640.0390625,25708.240234375,4101500000
2015-04-09,26944.390625,27922.669921875,26732.23046875,26913.279296875,5024500000
2015-04-10,27272.390625,27373.6796875,26812.75,27373.6796875,3341200000
2015-04-13,28016.33984375,28031.9609375,27304.119140625,27374.330078125,4727100000
2015-04-14,27561.490234375,27915.009765625,27483.44921875,27688.259765625,3774100000
2015-04-15,27618.8203125,27807.98046875,27442.51953125,27693.25,3926500000
2015-04-16,27739.7109375,27787.98046875,27470.099609375,27557.2890625,3269700000
