Date,Close,High,Low,Open,Volume,sentiment_score,Sentiment_MA7,Sentiment_Momentum,Return_1D,Volatility_10D,Return,Target
2015-02-18,24832.080078125,24871.7890625,24806.060546875,24836.05078125,975900000.0,-0.3686226457357406,-0.09478825703263281,-0.2738343887031078,0.0019043552808584163,0.0056015148142283195,0.0019043552808584163,1
2015-02-23,24836.759765625,24916.240234375,24664.6796875,24916.240234375,1019300000.0,0.0165528822690248,-0.09242355956562927,0.10897644183465408,0.00018845330255357062,0.005511795477107272,0.00018845330255357062,0
2015-02-24,24750.0703125,24808.30078125,24673.9296875,24776.720703125,1076300000.0,0.1245167516171932,0.05072888572301183,0.07378786589418136,-0.0034903688702977442,0.005512845929541765,-0.0034903688702977442,1
2015-02-25,24778.279296875,24869.369140625,24691.779296875,24822.279296875,1387700000.0,0.1245167516171932,0.06851699309689659,0.05599975852029661,0.0011397537065078733,0.004982085922069565,0.0011397537065078733,1
2015-02-26,24902.060546875,24998.640625,24709.560546875,24718.279296875,1803500000.0,0.5120114050805569,0.08278845490089484,0.42922295017966205,0.004995554716166639,0.005121996724947564,0.004995554716166639,0
2015-02-27,24823.2890625,25101.9609375,24815.029296875,24902.609375,1504200000.0,0.0,0.08278845490089484,-0.08278845490089484,-0.0031632516605091254,0.00409256189621328,-0.0031632516605091254,1
2015-03-02,24887.439453125,24997.830078125,24715.380859375,24996.759765625,1543100000.0,0.0,0.05842502069260393,-0.05842502069260393,0.0025842824640796014,0.004017300487955853,0.0025842824640796014,0
2015-03-03,24702.779296875,24984.619140625,24663.4296875,24984.619140625,1499900000.0,-0.9077893309295176,-0.01859879147793564,-0.889190539451582,-0.0074198133800708055,0.003689405888679913,-0.0074198133800708055,0
2015-03-04,24465.380859375,24705.9609375,24439.2890625,24656.939453125,1618200000.0,0.0,-0.02096348894493918,0.02096348894493918,-0.009610191413969016,0.004722447847157295,-0.009610191413969016,0
2015-03-05,24193.0390625,24393.849609375,24133.7109375,24274.900390625,1923400000.0,0.0,-0.03875159631882392,0.03875159631882392,-0.011131721122201177,0.005502469337412249,-0.011131721122201177,0
2015-03-06,24164.0,24294.359375,24126.08984375,24235.759765625,1620600000.0,-0.9077893309295176,-0.1862238938254969,-0.7215654371040208,-0.001200306518952865,0.005317064634892708,-0.001200306518952865,0
2015-03-09,24123.05078125,24205.859375,23910.16015625,23982.5,1619500000.0,0.0,-0.25936838026557646,0.25936838026557646,-0.0016946374255090157,0.005235700610263834,-0.0016946374255090157,0
2015-03-10,23896.98046875,24152.400390625,23869.8203125,24150.6796875,1521300000.0,0.0,-0.25936838026557646,0.25936838026557646,-0.009371547344903641,0.005625315310734309,-0.009371547344903641,0
2015-03-11,23717.970703125,23899.859375,23703.83984375,23807.099609375,1678300000.0,-0.4153792588040232,-0.3187082743804369,-0.09667098442358629,-0.00749089475379916,0.0054971692061053425,-0.00749089475379916,1
2015-03-12,23797.9609375,23880.25,23677.060546875,23709.169921875,1619100000.0,0.1245167516171932,-0.1712359768737639,0.29575272849095713,0.003372558106940371,0.005206876888705534,0.003372558106940371,1
2015-03-13,23823.2109375,23918.7109375,23790.830078125,23808.970703125,1538400000.0,0.3412777222692966,-0.12248201654957869,0.4637597388188753,0.0010610152721199917,0.005492051859045215,0.0010610152721199917,1
2015-03-16,23949.55078125,23970.05078125,23711.26953125,23771.400390625,1187700000.0,-0.3686226457357406,-0.17514239451182737,-0.19348025122391324,0.005303224828989261,0.005910553153120591,0.005303224828989261,0
2015-03-17,23901.490234375,24106.470703125,23822.779296875,24106.470703125,1188600000.0,0.0165528822690248,-0.04309350691203558,0.05964638918106038,-0.0020067410580671963,0.005790717823638191,-0.0020067410580671963,1
2015-03-18,24120.080078125,24210.75,23938.630859375,23938.630859375,1668400000.0,0.0165528822690248,-0.040728809445032044,0.057281691714056844,0.00914544832169617,0.0065048646527151605,0.00914544832169617,1
2015-03-19,24468.890625,24500.23046875,24248.83984375,24325.560546875,1826000000.0,0.0,-0.040728809445032044,0.040728809445032044,0.014461417447421576,0.0072438962245943775,0.014461417447421576,0
2015-03-20,24375.240234375,24524.55078125,24351.5,24417.529296875,2006100000.0,0.1245167516171932,0.03639919204371316,0.08811755957348003,-0.003827324747175731,0.007385178700971049,-0.003827324747175731,1
2015-03-23,24494.509765625,24559.76953125,24436.419921875,24538.33984375,1461200000.0,0.1245167516171932,0.03639919204371316,0.08811755957348003,0.0048930607494814815,0.007422211055906379,0.0048930607494814815,0
2015-03-24,24399.599609375,24490.150390625,24294.94921875,24484.6796875,1559000000.0,0.0,-0.012354768280472068,0.012354768280472068,-0.003874752226443623,0.006690665176636673,-0.003874752226443623,1
2015-03-25,24528.23046875,24613.689453125,24377.919921875,24410.529296875,1421300000.0,0.1245167516171932,0.05809371705566134,0.06642303456153185,0.00527184303981687,0.005817379214279602,0.00527184303981687,0
2015-03-26,24497.080078125,24592.009765625,24399.83984375,24442.509765625,1346200000.0,-0.3383836802095175,0.007388493844441013,-0.3457721740539585,-0.0012699811616939671,0.006000405803569765,-0.0012699811616939671,0
2015-03-27,24486.19921875,24549.880859375,24420.470703125,24541.439453125,1610400000.0,0.2183638457208871,0.036218631480421336,0.18214521424046576,-0.00044416964553728455,0.006070568361247882,-0.00044416964553728455,1
2015-03-30,24855.119140625,24949.349609375,24725.51953125,24727.4609375,2574100000.0,0.5120114050805569,0.1093631179205009,0.40264828716005596,0.015066442879893893,0.007203495415859553,0.015066442879893893,1
2015-03-31,24900.890625,25113.19921875,24876.369140625,25113.19921875,2557000000.0,0.0,0.09157501054661614,-0.09157501054661614,0.0018415314815445338,0.006960999396039619,0.0018415314815445338,1
2015-04-01,25082.75,25099.060546875,24926.109375,24955.19921875,1713500000.0,-0.8887831978499889,-0.053182125091552734,-0.8356010727584362,0.007303328131461173,0.006836683086900276,0.007303328131461173,1
2015-04-02,25275.640625,25297.80078125,25152.5703125,25214.330078125,2106800000.0,-0.4153792588040232,-0.11252201920641318,-0.30285723959761,0.007690170535527452,0.005957904847951797,0.007690170535527452,1
2015-04-08,26236.859375,26247.630859375,25640.0390625,25708.240234375,4101500000.0,-0.1788828298449516,-0.15586481655814816,-0.023018013286803446,0.03802945152849113,0.012030218764487703,0.03802945152849113,1
2015-04-09,26944.390625,27922.669921875,26732.23046875,26913.279296875,5024500000.0,0.0,-0.10752429081393138,0.10752429081393138,0.02696707101590734,0.013450141790222305,0.02696707101590734,1
2015-04-10,27272.390625,27373.6796875,26812.75,27373.6796875,3341200000.0,0.0,-0.13871912591691524,0.13871912591691524,0.012173220191354694,0.012585666594631941,0.012173220191354694,1
